key_name,Streams,Z_Streams,Outlier_Streams
C#,51701602,-0.38538438473752956,Normal
C#,79107077,-0.2074149096988553,Normal
C#,168424208,0.5589075974956426,Normal
C#,1273188008,7.5468734740551735,Outlier
D,,-2.1633942584005443,Normal
D,609665,-0.35858614616082674,Normal
D,2393978,-0.3527925365278121,Normal
D,3800453,-0.6964515106048724,Normal
D,4521862,-0.3458833623860906,Normal
D,5571284,-0.342475921310283,Normal
D,8415072,-0.33324222881852206,Normal
D,8542196,-0.6656589221721483,Normal
D,11019581,-0.6495709358147257,Normal
D,69353432,-0.2707544825529507,Normal
D,223212147,0.7283945830507288,Normal
D#,,-1.8028285486671203,Normal
D#,1666431,-0.35515485934206664,Normal
D#,3004313,-0.3508107974857461,Normal
D#,23762370,-0.5668200450216052,Normal
D#,899728914,5.121653005969913,Normal
E,,-6.490182775201635,Normal
E,572669,-0.3587062710391317,Normal
E,3287372,-0.34989171358672644,Normal
E,4892405,-1.3787208824796238,Normal
E,5016636,-0.34427684636980577,Normal
E,5745140,-0.6838228324117546,Normal
E,7284254,-0.6738279204241071,Normal
E,7700748,-1.3422464678279138,Normal
E,8387886,-1.3333220037097677,Normal
E,8953539,-0.6629876859403065,Normal
E,12669438,-0.31942843278611643,Normal
E,23192474,-0.57052091471814,Normal
E,38586124,-0.4705554950554964,Normal
E,47337741,-0.4137230306216729,Normal
E,76649318,-0.11168772300755256,Normal
E,88626264,-0.14559789272742996,Normal
E,99769954,-0.03661572641781505,Normal
E,147558863,0.2371067933506147,Normal
E,291630780,1.172700992550061,Normal
E,707037211,3.8703248962685435,Normal
E,855732722,2.4179722157678816,Normal
F,,-1.0816971292002722,Normal
F,4547461,-0.6916004864350782,Normal
F,7176418,-0.674528200799115,Normal
F,7345177,-0.33671614509796083,Normal
F,38615300,-0.4703660278996186,Normal
F,55658859,-0.3596862003096691,Normal
F,1246059662,7.370703657757973,Outlier
F,1344909249,8.012626817498125,Outlier
F#,,-2.1633942584005443,Normal
F#,1955479,-0.35421632934357217,Normal
F#,2653479,-0.35194994473288777,Normal
F#,4430601,-0.34617968405651417,Normal
F#,4929553,-0.6891192044045177,Normal
